1,1
4,1
6,1
11,1
89,1
94,1
109,1
3,2
5,2
7,2
8,2
9,2
13,2
29,2
33,2
34,2
58,2
71,2
78,2
80,2
81,2
82,2
84,2
85,2
92,2
97,2
98,2
100,2
102,2
103,2
106,2
107,2
112,2
113,2
116,2
118,2
123,2
124,2
128,2
132,2
135,2
139,2
140,2
144,2
147,2
148,2
153,2
155,2
156,2
162,2
165,2
167,2
179,2
151,3
171,3
190,3
194,3
196,3
161,4
184,4
192,4
195,4
2,5
15,5
16,5
18,5
23,5
30,5
46,5
73,5
86,5
88,5
108,5
111,5
115,5
126,5
138,5
145,5
157,5
10,6
12,6
14,6
20,6
22,6
25,6
27,6
28,6
40,6
45,6
75,6
76,6
17,7
31,7
50,7
70,7
77,7
32,8
36,8
37,8
39,8
41,8
42,8
43,8
44,8
51,8
52,8
53,8
54,8
55,8
57,8
59,8
60,8
61,8
62,8
63,8
66,8
67,8
69,8
74,8
79,8
83,8
87,8
90,8
91,8
96,8
105,8
119,8
120,8
122,8
130,8
131,8
133,8
136,8
137,8
141,8
143,8
146,8
149,8
150,8
172,3
186,3
188,3
189,3
191,3
193,3
