1,5531,47,33,5,4,149,114
2,26411,155,76,5,4,347,324
3,16619,423,95,313,4,498,258
4,2167,458,25,417,4,490,79
5,10686,512,91,473,4,551,235
6,14966,646,39,535,4,797,108
7,7297,774,56,710,4,888,143
8,14246,816,97,729,4,915,205
9,6617,898,81,785,4,1017,195
10,10574,1021,50,928,4,1166,149
11,2572,1220,23,1161,4,1249,73
12,16434,1176,86,1062,19,1249,188
13,6093,902,128,866,39,966,233
14,9943,997,134,929,63,1112,240
15,26497,336,288,121,66,446,473
16,21044,267,147,108,69,369,306
17,30074,631,170,528,70,732,276
18,16485,67,247,15,93,129,378
20,10761,1142,182,1044,104,1205,297
22,5529,1057,173,1017,127,1123,228
23,13959,155,214,86,129,279,337
25,8761,1221,256,1153,138,1249,377
27,4445,997,215,971,142,1025,288
28,11687,946,296,887,151,1041,409
29,3114,871,245,845,170,918,318
30,8351,260,248,200,176,307,322
31,19921,777,261,682,177,854,340
32,1711,209,205,182,182,233,229
33,4556,450,284,410,191,479,374
34,1165,516,227,499,191,548,250
36,990,159,224,139,196,181,255
37,763,1055,212,1038,200,1077,228
39,1122,1091,225,1072,206,1108,245
40,11521,1135,297,1041,207,1210,361
41,1344,184,241,162,223,208,262
42,554,1031,242,1022,223,1042,261
43,951,1060,245,1044,228,1078,262
44,805,223,246,207,230,238,263
45,7959,1021,317,944,230,1128,371
46,12772,229,342,112,233,324,394
50,20083,539,322,460,246,623,409
51,973,153,272,139,248,168,293
52,954,1087,267,1067,250,1104,284
53,1093,191,275,171,255,210,294
54,1174,1047,279,1028,260,1068,298
55,426,219,280,207,265,232,295
57,587,665,278,650,267,681,290
58,10280,923,371,850,270,1032,460
59,589,637,290,625,275,651,305
60,463,690,296,679,281,700,311
61,191,171,300,159,291,180,309
62,382,196,304,184,293,211,315
63,838,661,309,646,293,678,326
66,627,633,323,621,308,647,338
67,4081,393,352,363,310,431,399
69,408,680,327,667,313,692,339
70,7135,729,371,677,313,782,427
71,2785,830,357,804,313,869,394
73,14199,85,403,4,325,222,454
74,164,656,336,648,330,665,343
75,8219,1117,389,1010,337,1196,423
76,14447,1146,433,994,337,1249,482
77,13845,639,416,580,339,715,490
78,1164,789,366,764,341,803,407
79,3866,444,390,415,349,475,432
80,1115,338,391,291,361,370,419
81,2743,853,398,792,379,920,419
82,6003,561,489,524,382,601,601
83,1674,386,411,342,394,429,446
84,785,481,430,472,396,491,473
85,1634,513,431,491,410,547,463
86,12444,883,456,744,410,977,521
87,1733,320,432,294,412,353,459
88,10532,722,480,666,414,824,579
89,4600,40,470,4,419,128,530
90,7604,362,467,295,421,425,508
91,1270,280,450,261,424,303,474
92,665,451,447,432,430,477,468
94,5958,1217,500,1135,439,1249,581
96,1394,497,485,480,453,518,528
97,4585,426,547,368,455,492,601
98,1886,1017,476,976,456,1054,495
100,14306,164,610,34,459,265,770
102,16109,108,597,21,465,242,778
103,1972,265,499,231,469,307,551
105,1966,534,499,510,471,559,533
106,7246,66,519,4,473,173,599
107,975,458,486,427,473,480,507
108,9582,836,515,754,474,918,578
109,347075,742,996,4,476,1249,1249
111,4377,651,569,627,479,678,643
112,2326,995,543,974,486,1013,613
113,2965,604,531,569,489,649,601
115,9537,949,593,875,490,991,675
116,13021,1114,585,1001,492,1217,727
118,6716,1074,612,998,497,1185,694
119,4689,431,532,385,499,478,564
120,3098,529,539,492,505,571,570
122,3314,265,547,232,511,325,594
123,69,331,515,322,511,339,520
124,328,355,520,338,512,366,539
126,9048,759,592,705,518,849,642
128,8000,30,650,4,521,107,797
130,3749,297,570,257,525,332,610
131,4067,314,599,255,525,358,654
132,892,497,568,479,529,515,601
133,396,842,538,823,531,861,547
135,1807,607,577,579,533,630,602
136,594,815,554,802,541,831,570
137,839,873,560,856,542,887,586
138,5579,891,615,820,545,929,663
139,1721,375,584,343,546,407,609
140,494,477,570,457,547,503,601
141,697,844,564,828,551,859,580
143,153,797,576,794,562,804,587
144,2848,231,627,204,566,260,673
145,6159,719,652,674,566,803,715
146,962,824,588,806,571,842,607
147,962,1020,608,1001,571,1048,634
148,105,521,580,517,574,528,594
149,522,859,589,845,576,873,602
150,383,853,612,835,600,871,621
151,17700,489,634,300,607,682,661
153,5090,1047,799,993,618,1075,898
155,9830,1093,710,1010,626,1171,805
156,9194,200,735,168,631,231,859
157,9660,838,685,737,635,950,727
161,25185,495,693,276,656,741,725
162,9061,1189,759,1103,668,1234,866
165,8912,79,788,24,674,168,905
167,8607,155,816,124,684,186,930
171,29265,508,756,263,717,755,790
172,1217,996,747,979,725,1014,770
179,182,1109,787,1101,764,1118,815
184,35028,508,825,253,780,765,863
186,1155,999,831,983,809,1016,852
188,1444,1171,856,1150,834,1192,878
189,1481,1099,875,1081,851,1119,900
190,36443,506,898,246,852,771,939
191,1540,1161,937,1142,912,1181,962
192,35344,508,971,242,923,774,1010
193,1498,1206,986,1186,962,1226,1010
194,36512,508,1043,241,993,775,1083
195,35921,508,1115,240,1065,775,1155
196,38839,509,1189,240,1135,775,1231
