1,1
2,2
3,1
4,1
5,1
6,2
7,1
8,1
9,2
10,2
11,2
12,1
13,2
14,5
15,2
16,2
17,2
18,2
19,2
20,5
21,6
22,5
23,5
24,7
25,6
26,2
27,2
28,2
29,5
30,5
31,6
32,5
33,6
34,8
35,5
36,8
37,8
38,6
39,6
40,6
41,8
42,6
43,8
44,7
45,2
46,8
47,5
48,8
49,5
50,8
51,8
52,7
53,8
54,8
55,8
56,6
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,6
66,8
67,8
68,8
69,6
70,8
71,8
72,1
73,8
74,8
75,8
76,5
77,8
78,8
79,8
80,8
81,8
82,7
83,8
84,2
85,6
86,7
87,2
88,8
89,2
90,6
91,2
92,2
93,2
94,2
95,1
96,8
97,2
98,8
99,5
100,5
101,8
102,2
103,2
104,2
105,1
106,8
107,2
108,8
109,8
110,2
111,2
112,2
113,8
114,2
115,2
116,2
117,2
118,5
119,8
120,2
121,2
122,2
123,1
124,2
125,8
126,2
127,2
128,1
129,2
130,5
131,2
132,2
133,5
134,5
135,8
136,2
137,2
138,1
139,8
140,5
141,1
142,1
143,2
144,2
145,8
146,8
147,8
148,2
149,8
150,8
151,8
152,2
153,5
154,2
155,8
156,2
157,8
158,2
159,8
160,8
161,5
162,8
163,2
164,1
165,8
166,8
167,2
168,2
169,2
170,2
171,2
172,8
173,2
174,8
175,2
176,2
177,3
178,5
179,2
180,2
181,4
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,1
193,2
194,2
195,2
196,1
197,4
198,3
199,2
200,2
201,9
202,2
203,9
204,4
205,2
206,2
207,2
208,2
209,2
210,2
211,3
212,9
213,9
214,2
215,9
216,4
217,2
218,2
219,2
220,9
221,9
222,9
223,3
224,9
225,9
226,2
227,4
228,9
229,9
230,3
231,4
232,3
